sku,title,shopify,amazon,etsy,google,notes
57_STEP_WHPA_,Wood Step Stool (Dog),active,B086V8Z2X5,,yes,etsy: no connector
57_STEP_WHPA_,Wood Step Stool (Geometric),active,B086V8Z2X5,,yes,etsy: no connector
57_STEP_WHPA_,Wood Step Stool (Paws),active,B086V8Z2X5,,yes,etsy: no connector
300_TWO _WALN_,Wood Step Stool - Adjustable,active,B086V8Z2X5,,yes,etsy: no connector
343_STEP_WALN_,Wood Step Stool - Potty,active,B086V8Z2X5,,yes,etsy: no connector
277_TP H__,Wood Toilet Paper Holder Circle (Set of 3),active,B07T2D1T65,,yes,etsy: no connector
47_TP WALN_,Wood toilet paper roll holder - LEAF,active,B0DB66FBH7,,yes,etsy: no connector
240_HEXA_LIGH_,Wood wall hook bathroom towel rack,active,B07T2D1T65,,yes,"amazon match likely, verify; etsy: no connector"
289_TOWE_WALN_,Wood Wall Towel Holder - Moon,active,B07T2D1T65,,yes,etsy: no connector
131_BALA_1 DO_,Wooden Balance Beam connectors,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
122_BALA_WOOD_,Wooden Balance Beams,draft,,,no,draft; etsy: no connector
2_NATUR_LIRA,Wooden box for USB flash drives and photo (USB not included),archived,,,no,archived; etsy: no connector
286_SHEL__,Wooden Classic Floating Wall Hanging Shelf - Simple Wave,active,B0D5RB5P6T,,yes,etsy: no connector
35_COAT_WOOD_,"Wooden Coat Rack Free Standing (Walnut, Ash)",active,B0CKXX3QVF,,yes,etsy: no connector
31_VIRT__,Wooden cookery heat coaster,draft,,,no,draft; etsy: no connector
348_WOOD_WALN_,Wooden Floating Wall Shelf - Fish,active,B0F9PF33XF,,yes,etsy: no connector
54_SHEL_WENG_,Wooden Floating Wall Shelf Curved Wave,active,B099X2T5CF,,yes,etsy: no connector
349_WOOD_WALN_,Wooden Floating Wall Shelf Set - Nordic Blocks,active,B0F9X9MGJM,,yes,etsy: no connector
360_WOOD__,Wooden Geometric Shelf Small (Set of 2),active,B091CQWG9L,,yes,etsy: no connector
135_BALA_3_,Wooden hexagon shape balance beam,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
112_CHIL__,Wooden kids chalkboard easel,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
86_KNIF__,Wooden Knife Holder Wall Mounted,active,B08ZVJ9S7N,,yes,etsy: no connector
34_COMP_NAT_,Wooden lap top stand,draft,,,no,draft; etsy: no connector
34_COMP_NAT_,Wooden laptop holder,draft,,,no,draft; etsy: no connector
155_PHON_1WAL_,Wooden phone stand,active,B0851JPTF3,,yes,etsy: no connector
119_VIKI__,Wooden play gym for baby (Viking theme),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
19_CAKE__,Wooden round cake stand,draft,,,no,draft; etsy: no connector
117_WOOD_DUCK_,Wooden stepping stones (Animal footprint),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
127_WOOD_RODINO_,Wooden stepping stones WITH rope (Animal footprint),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
58_TP H__,Wooden toilet paper shelf HONEYCOMB,active,B07T2D1T65,,yes,etsy: no connector
118_TOY __,Wooden toy box on wheels (Whale),draft,B09J564TDG,,no,"draft; amazon match likely, verify; etsy: no connector"
110_WOOD_DOGR_,Wooden Toy Storage Box Cube (Set of 2),active,B09J564TDG,,yes,etsy: no connector
359_WOOD_WALN_,Wooden Wall Mounted Planter,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
77_SHEL_B092_,Wooden wall shelf with brackets,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
66_SHEL__,Wooden wall shelf with metal construction,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
257_WINE__,Wooden Wine and Glass Holder (V type),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
256_WINE__,Wooden Wine and Glass Holder Box,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
000_WORLD_MAP_,"World Map made of Wood, Wall Decor",active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
